"Bat ID","Last 4 digits","Site","Sampling Date","Luminex Date","Species","Age","Sex","Repro Status","Weight (g)","Forearm (mm)","EBOV","MARV","logEBOV","logMARV","logEBOVrs","logMARVrs"
"301",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-09-03","E. helvum","A","M","NRS",NA,NA,21,12,3.04452243772342,2.484906649788,0.0729778576477539,0.101764707861572
"958…1037",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-09-03","E. helvum","A","F","P",NA,NA,26,6.25,3.25809653802148,1.83258146374831,0.10767026758827,-0.0247257286577688
"A001",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-09-03","E. helvum","J","M","NRS",NA,NA,27,11,3.29583686600433,2.39789527279837,0.113800706287734,0.0848925905600985
"A004",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-09-03","E. helvum","J","F","NRS",NA,NA,15,10,2.70805020110221,2.30258509299405,0.018322200664183,0.0664112770891629
"A055",NA,NA,NA,"2017-09-03",NA,"SA","M","NRS",NA,NA,17,9.5,2.83321334405622,2.2512917986065,0.0386533693721111,0.0564651469435739
"A057",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-09-03","E. helvum","J","F","NRS",NA,NA,18,10,2.89037175789616,2.30258509299405,0.0479380303947622,0.0664112770891629
"A058",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-09-03","E. helvum","SA","M","NRS",NA,NA,18.5,6.75,2.91777073208428,1.90954250488444,0.0523886470339387,-0.00980244208747297
"A059",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-09-03","E. helvum","A","F","P",NA,NA,16,7.25,2.77258872223978,1.98100146886658,0.0288056667264751,0.00405395306752167
"A060",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-09-03","E. helvum","J","F","NRS",NA,NA,24,10.25,3.17805383034795,2.32727770558442,0.0946683426194471,0.0711993481497351
"A061",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-09-03","E. helvum","J","M","NRS",NA,NA,11.5,9.25,2.4423470353692,2.22462355152433,-0.0248379162939973,0.0512939864751155
"A062",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-09-03","E. helvum","SA","M","NRS",NA,NA,15,7.5,2.70805020110221,2.01490302054226,0.018322200664183,0.0106277021146403
"A063",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-09-03","E. helvum","SA","M","NRS",NA,NA,16.75,6,2.81839825827108,1.79175946922805,0.0362468461623927,-0.0326414001923997
"A064",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-09-03","E. helvum","A","F","P",NA,NA,12,9,2.484906649788,2.19722457733622,-0.0179246454982097,0.0459811328870495
"A066",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-09-03","E. helvum","SA","M","NRS",NA,NA,21.5,7.25,3.06805293513362,1.98100146886658,0.0768000891876243,0.00405395306752167
"A067",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-09-03","E. helvum","A","M","NRS",NA,NA,29.25,9.25,3.37587957367787,2.22462355152433,0.126802631256557,0.0512939864751155
