"Site","Sampling.Date","Luminex.Date","Species","Age","Sex","Repro.Status","Weight","Forearm","EBOV","MARV","logEBOV","logMARV","logEBOVrs","logMARVrs","BodyCondition","ReproSex","Year"
"37 Hospital","2012-10-18 00:00:00","2015-08-13 00:00:00","Eidolon helvum","Subadult","F",NA,150,NA,9.75,11,2.27726728500976,2.39789527279837,-0.0256129493563888,0.0528306057348028,NA,"Sexually immature","2012"
"37 Hospital","2012-10-18 00:00:00","2015-08-13 00:00:00","Eidolon helvum","Adult","M",NA,250,NA,6.25,7.5,1.83258146374831,2.01490302054226,-0.0946081798112045,-0.0107067646937292,NA,"M","2012"
"37 Hospital","2012-10-18 00:00:00","2015-08-13 00:00:00","Eidolon helvum","Adult","M",NA,250,NA,11.75,8,2.46385324059017,2.07944154167984,0.00333679536086797,0,NA,"M","2012"
"37 Hospital","2012-10-18 00:00:00","2015-08-13 00:00:00","Eidolon helvum","Subadult","F",NA,NA,NA,5.75,9.5,1.74919985480926,2.2512917986065,-0.107545253694342,0.0285094890778263,NA,"Sexually immature","2012"
"37 Hospital","2012-10-18 00:00:00","2015-08-13 00:00:00","Eidolon helvum","Adult","M",NA,250,NA,11.25,4,2.42036812865043,1.38629436111989,-0.00341013736373486,-0.114991227402897,NA,"M","2012"
"37 Hospital","2012-10-18 00:00:00","2015-08-13 00:00:00","Eidolon helvum","Adult","M",NA,250,NA,11.25,6.5,2.42036812865043,1.87180217690159,-0.00341013736373486,-0.0344468044921137,NA,"M","2012"
"37 Hospital","2012-10-18 00:00:00","2015-08-13 00:00:00","Eidolon helvum","Adult","F",NA,230,NA,9.5,9.25,2.2512917986065,2.22462355152433,-0.0296431760577596,0.0240852995973409,NA,NA,"2012"
"37 Hospital","2012-10-18 00:00:00","2015-08-13 00:00:00","Eidolon helvum","Adult","F",NA,260,NA,10,8,2.30258509299405,2.07944154167984,-0.0216847647528598,0,NA,NA,"2012"
"37 Hospital","2012-10-18 00:00:00","2015-08-13 00:00:00","Eidolon helvum","Adult","M",NA,230,115,6.5,7.25,1.87180217690159,1.98100146886658,-0.0885228898981225,-0.0163309396848185,2,"M","2012"
"37 Hospital","2012-10-18 00:00:00","2015-08-13 00:00:00","Eidolon helvum","Subadult","M",NA,175,105,11.25,11,2.42036812865043,2.39789527279837,-0.00341013736373486,0.0528306057348028,1.66666666666667,"Sexually immature","2012"
